merchant_a,merchant_b,edge_weight
396,386,0.04
396,438,0.04
396,461,0.04
397,2,0.06
397,91,0.04
397,191,0.04
397,325,0.04
397,347,0.04
397,372,0.04
397,415,0.04
398,54,0.04
398,63,0.04
398,89,0.04
398,117,0.04
398,207,0.04
398,282,0.04
398,325,0.04
398,384,0.04
398,447,0.04
398,467,0.04
398,480,0.04
400,63,0.04
400,86,0.04
400,149,0.04
400,158,0.04
400,252,0.04
400,282,0.04
400,307,0.04
401,28,0.04
401,59,0.04
401,69,0.04
401,157,0.04
401,189,0.04
401,299,0.04
401,363,0.04
401,476,0.04
401,490,0.04
402,62,0.04
402,152,0.04
402,156,0.04
402,185,0.04
402,195,0.04
402,390,0.04
402,407,0.04
402,410,0.04
402,428,0.04
402,485,0.04
402,498,0.04
403,8,0.04
403,154,0.04
403,158,0.04
403,187,0.04
403,192,0.04
403,392,0.04
403,438,0.04
403,450,0.04
404,33,0.04
404,173,0.04
404,361,0.04
404,364,0.04
404,421,0.04
404,424,0.04
405,50,0.04
405,131,0.04
405,139,0.04
405,194,0.04
405,323,0.04
405,343,0.04
406,88,0.04
406,111,0.04
406,122,0.06
406,449,0.04
407,41,0.04
407,148,0.04
407,149,0.04
407,160,0.04
407,340,0.04
407,390,0.04
407,402,0.04
408,62,0.04
408,78,0.04
408,92,0.04
408,210,0.04
408,273,0.04
408,277,0.04
408,311,0.04
408,373,0.04
408,388,0.04
408,438,0.04
408,461,0.04
408,463,0.04
408,492,0.04
409,56,0.04
409,220,0.04
409,298,0.04
409,368,0.04
409,383,0.04
409,410,0.04
410,11,0.04
410,211,0.04
410,225,0.04
410,300,0.04
410,402,0.04
410,409,0.04
411,27,0.06
411,155,0.04
411,163,0.04
411,206,0.04
411,242,0.04
411,284,0.04
411,325,0.04
411,414,0.04
412,18,0.04
412,42,0.04
412,46,0.04
412,60,0.04
412,89,0.06
412,178,0.04
412,188,0.04
412,191,0.06
412,209,0.04
412,292,0.04
412,308,0.04
412,343,0.04
412,367,0.04
412,384,0.04
412,436,0.04
412,456,0.04
412,483,0.04
413,432,0.06
414,11,0.04
414,110,0.04
414,117,0.04
414,122,0.06
414,151,0.04
414,158,0.04
414,353,0.04
414,386,0.04
414,411,0.04
415,182,0.04
415,226,0.04
415,294,0.04
415,295,0.04
415,397,0.04
416,25,0.04
416,209,0.04
417,32,0.04
417,86,0.04
417,91,0.04
417,174,0.04
417,209,0.04
417,212,0.08
417,219,0.04
417,225,0.04
417,244,0.04
417,247,0.04
417,257,0.04
417,264,0.04
417,281,0.04
417,285,0.04
417,325,0.06
417,327,0.04
417,376,0.04
417,418,0.04
417,482,0.04
418,132,0.04
418,171,0.04
418,305,0.04
418,417,0.04
418,452,0.04
419,77,0.04
419,84,0.04
419,118,0.06
419,236,0.04
419,264,0.04
419,461,0.04
420,394,0.04
421,215,0.04
421,330,0.04
421,361,0.04
421,404,0.04
421,434,0.04
421,456,0.04
422,500,0.04
423,15,0.04
423,63,0.04
423,300,0.04
423,383,0.04
424,27,0.04
424,30,0.04
424,46,0.04
424,111,0.04
424,188,0.04
424,210,0.04
424,259,0.04
424,404,0.04
424,482,0.04
425,46,0.04
425,128,0.04
425,137,0.04
425,138,0.04
425,484,0.04
426,13,0.04
426,24,0.04
426,27,0.04
426,216,0.04
426,227,0.04
426,250,0.04
426,254,0.04
426,311,0.04
426,445,0.04
426,476,0.04
427,13,0.04
427,50,0.04
427,86,0.04
427,158,0.04
427,189,0.04
427,191,0.04
427,209,0.04
427,217,0.04
427,225,0.04
427,254,0.04
427,281,0.04
427,297,0.04
427,308,0.04
427,323,0.04
427,334,0.04
427,338,0.04
427,361,0.04
427,436,0.04
427,454,0.04
428,62,0.04
428,285,0.04
428,310,0.04
428,338,0.06
428,368,0.04
428,402,0.04
428,497,0.04
429,11,0.04
429,97,0.04
429,126,0.06
429,207,0.04
429,252,0.04
429,455,0.04
430,34,0.04
430,117,0.04
430,144,0.04
430,151,0.06
430,158,0.04
430,225,0.04
430,300,0.04
430,349,0.04
431,247,0.04
431,277,0.04
431,491,0.04
432,12,0.04
432,42,0.04
432,66,0.04
432,84,0.04
432,105,0.04
432,200,0.04
432,214,0.04
432,296,0.04
432,302,0.04
432,308,0.06
432,329,0.04
432,369,0.06
432,386,0.04
432,413,0.06
432,467,0.04
432,499,0.04
432,500,0.04
433,251,0.06
434,158,0.04
434,180,0.04
434,205,0.04
434,281,0.06
434,328,0.04
434,389,0.04
434,421,0.04
434,455,0.04
435,14,0.04
435,54,0.04
435,56,0.04
435,76,0.04
435,155,0.04
435,178,0.04
435,238,0.04
435,303,0.06
435,450,0.04
436,27,0.04
436,46,0.04
436,109,0.06
436,117,0.04
436,122,0.04
436,126,0.04
436,136,0.04
436,139,0.04
436,149,0.04
436,223,0.04
436,260,0.04
436,382,0.04
436,412,0.04
436,427,0.04
436,453,0.04
436,493,0.04
437,125,0.04
437,171,0.04
438,59,0.04
438,74,0.04
438,89,0.04
438,208,0.04
438,272,0.04
438,288,0.04
438,368,0.04
438,383,0.04
438,396,0.04
438,403,0.04
438,408,0.04
438,461,0.04
438,494,0.04
439,92,0.04
439,150,0.04
439,220,0.04
439,333,0.04
440,27,0.04
440,84,0.04
440,222,0.04
440,231,0.04
440,296,0.04
440,384,0.04
440,483,0.04
441,35,0.04
441,156,0.04
441,206,0.04
441,241,0.04
442,62,0.04
442,91,0.04
442,110,0.04
442,233,0.04
442,467,0.04
443,73,0.04
443,152,0.06
443,275,0.04
443,306,0.04
443,457,0.04
443,474,0.04
444,205,0.04
444,241,0.04
444,286,0.06
444,468,0.04
445,5,0.04
445,258,0.04
445,290,0.04
445,316,0.04
445,343,0.04
445,361,0.04
445,426,0.04
445,477,0.04
446,178,0.04
446,304,0.04
446,322,0.04
446,361,0.04
447,49,0.04
447,78,0.04
447,118,0.04
447,140,0.04
447,151,0.04
447,269,0.04
447,353,0.04
447,384,0.04
447,398,0.04
447,450,0.04
447,464,0.04
448,481,0.04
449,39,0.04
449,58,0.04
449,89,0.04
449,114,0.04
449,120,0.04
449,122,0.04
449,168,0.04
449,170,0.04
449,225,0.04
449,239,0.06
449,247,0.04
449,258,0.06
449,281,0.04
449,285,0.04
449,304,0.04
449,328,0.04
449,342,0.04
449,363,0.04
449,381,0.04
449,406,0.04
449,471,0.04
449,480,0.04
449,486,0.04
450,13,0.04
450,16,0.04
450,19,0.04
450,33,0.04
450,58,0.04
450,59,0.04
450,73,0.04
450,81,0.04
450,114,0.04
450,139,0.04
450,158,0.06
450,166,0.04
450,170,0.04
450,198,0.06
450,212,0.04
450,215,0.04
450,240,0.04
450,256,0.06
450,269,0.04
450,303,0.04
450,326,0.04
450,342,0.04
450,347,0.04
450,352,0.06
450,354,0.06
450,403,0.04
450,435,0.04
450,447,0.04
450,456,0.04
450,471,0.04
450,481,0.04
451,40,0.04
451,116,0.04
451,294,0.04
451,328,0.04
451,382,0.04
452,5,0.04
452,16,0.06
452,40,0.04
452,44,0.04
452,51,0.04
452,91,0.04
452,143,0.04
452,144,0.06
452,148,0.04
452,150,0.04
452,164,0.06
452,177,0.04
452,194,0.04
452,215,0.04
452,227,0.04
452,239,0.04
452,271,0.04
452,277,0.04
452,307,0.06
452,335,0.04
452,347,0.04
452,362,0.04
452,370,0.04
452,376,0.04
452,418,0.04
453,173,0.04
453,240,0.06
453,248,0.04
453,335,0.04
453,384,0.04
453,436,0.04
453,480,0.04
454,226,0.04
454,338,0.04
454,391,0.04
454,427,0.04
455,45,0.04
455,169,0.04
455,180,0.04
455,229,0.04
455,357,0.04
455,394,0.06
455,429,0.04
455,434,0.04
455,483,0.04
456,13,0.04
456,46,0.04
456,81,0.04
456,148,0.04
456,173,0.04
456,191,0.04
456,208,0.04
456,215,0.04
456,220,0.04
456,228,0.08
456,269,0.04
456,343,0.04
456,412,0.04
456,421,0.04
456,450,0.04
456,474,0.04
457,147,0.04
457,258,0.04
457,330,0.04
457,443,0.04
458,54,0.04
458,170,0.04
458,308,0.04
459,66,0.04
459,110,0.04
459,131,0.04
459,200,0.04
459,208,0.04
459,210,0.04
459,219,0.06
459,225,0.04
459,258,0.04
459,326,0.04
459,331,0.04
459,373,0.04
459,376,0.04
459,460,0.04
459,488,0.04
460,55,0.04
460,143,0.04
460,146,0.04
460,183,0.04
460,214,0.04
460,241,0.06
460,274,0.04
460,290,0.04
460,459,0.04
461,19,0.06
461,129,0.06
461,186,0.04
461,204,0.04
461,207,0.04
461,213,0.04
461,240,0.04
461,281,0.04
461,312,0.04
461,325,0.04
461,343,0.04
461,368,0.06
461,396,0.04
461,408,0.04
461,419,0.04
461,438,0.04
461,477,0.04
461,499,0.04
462,468,0.04
463,41,0.04
463,121,0.04
463,259,0.04
463,367,0.04
463,408,0.04
463,492,0.04
464,37,0.04
464,41,0.04
464,81,0.04
464,133,0.04
464,140,0.04
464,147,0.04
464,279,0.04
464,324,0.04
464,337,0.06
464,365,0.04
464,447,0.04
465,76,0.04
465,93,0.04
465,225,0.04
465,346,0.04
466,110,0.06
466,160,0.04
466,219,0.06
467,40,0.04
467,110,0.04
467,122,0.04
467,125,0.04
467,139,0.04
467,208,0.04
467,214,0.04
467,225,0.06
467,300,0.04
467,393,0.04
467,398,0.04
467,432,0.04
467,442,0.04
467,479,0.04
467,491,0.04
468,19,0.04
468,27,0.04
468,37,0.04
468,47,0.06
468,100,0.06
468,101,0.04
468,194,0.04
468,220,0.04
468,247,0.04
468,265,0.04
468,269,0.08
468,271,0.04
468,308,0.04
468,339,0.04
468,343,0.04
468,361,0.04
468,368,0.04
468,384,0.04
468,444,0.04
468,462,0.04
468,475,0.04
469,26,0.06
469,31,0.04
469,80,0.04
469,101,0.04
469,138,0.04
469,241,0.06
469,323,0.04
469,347,0.04
469,363,0.04
470,95,0.04
470,321,0.04
471,16,0.04
471,32,0.04
471,170,0.06
471,225,0.04
471,449,0.04
471,450,0.04
472,4,0.04
472,20,0.04
472,138,0.04
472,148,0.04
472,206,0.04
472,236,0.04
472,379,0.04
473,136,0.04
473,261,0.04
473,342,0.04
474,31,0.04
474,43,0.04
474,119,0.04
474,148,0.04
474,152,0.04
474,158,0.04
474,256,0.04
474,275,0.04
474,281,0.04
474,289,0.04
474,298,0.04
474,348,0.06
474,365,0.04
474,375,0.04
474,443,0.04
474,456,0.04
475,9,0.04
475,63,0.04
475,84,0.04
475,233,0.04
475,267,0.04
475,296,0.04
475,353,0.04
475,468,0.04
475,487,0.04
475,491,0.04
476,92,0.04
476,106,0.04
476,132,0.04
476,193,0.04
476,211,0.04
476,224,0.04
476,244,0.04
476,289,0.04
476,306,0.04
476,344,0.04
476,373,0.04
476,376,0.04
476,401,0.04
476,426,0.04
476,480,0.04
477,103,0.04
477,225,0.04
477,228,0.04
477,229,0.04
477,270,0.04
477,333,0.04
477,347,0.04
477,368,0.08
477,445,0.04
477,461,0.04
478,89,0.04
478,137,0.04
478,483,0.04
479,37,0.04
479,133,0.04
479,225,0.04
479,467,0.04
480,13,0.04
480,27,0.04
480,66,0.04
480,82,0.04
480,186,0.04
480,241,0.04
480,244,0.04
480,278,0.04
480,321,0.04
480,339,0.04
480,398,0.04
480,449,0.04
480,453,0.04
480,476,0.04
481,77,0.04
481,111,0.04
481,120,0.04
481,256,0.04
481,275,0.04
481,291,0.04
481,363,0.04
481,392,0.04
481,448,0.04
481,450,0.04
482,144,0.04
482,186,0.04
482,242,0.04
482,252,0.04
482,350,0.04
482,368,0.04
482,417,0.04
482,424,0.04
483,27,0.06
483,46,0.04
483,121,0.04
483,135,0.04
483,328,0.04
483,384,0.04
483,412,0.04
483,440,0.04
483,455,0.04
483,478,0.04
484,5,0.04
484,17,0.04
484,35,0.04
484,37,0.04
484,40,0.04
484,109,0.04
484,112,0.04
484,143,0.04
484,166,0.04
484,170,0.06
484,275,0.06
484,276,0.06
484,303,0.06
484,348,0.04
484,373,0.04
484,425,0.04
485,57,0.04
485,60,0.04
485,264,0.04
485,308,0.04
485,368,0.04
485,384,0.04
485,402,0.04
486,27,0.04
486,168,0.04
486,227,0.04
486,232,0.04
486,234,0.04
486,264,0.04
486,271,0.04
486,279,0.04
486,308,0.04
486,360,0.04
486,364,0.04
486,449,0.04
487,78,0.04
487,151,0.06
487,244,0.04
487,245,0.04
487,376,0.04
487,475,0.04
488,49,0.04
488,108,0.04
488,143,0.04
488,292,0.04
488,303,0.04
488,459,0.04
488,498,0.04
489,249,0.04
489,271,0.04
490,153,0.04
490,401,0.04
491,8,0.04
491,89,0.04
491,90,0.06
491,101,0.04
491,146,0.04
491,221,0.04
491,240,0.04
491,248,0.04
491,295,0.04
491,357,0.04
491,367,0.04
491,431,0.04
491,467,0.04
491,475,0.04
492,31,0.04
492,163,0.04
492,329,0.04
492,367,0.04
492,408,0.04
492,463,0.04
493,86,0.06
493,89,0.04
493,128,0.04
493,141,0.04
493,192,0.04
493,202,0.04
493,209,0.04
493,222,0.04
493,271,0.04
493,306,0.04
493,352,0.04
493,368,0.04
493,436,0.04
494,27,0.04
494,204,0.04
494,208,0.04
494,307,0.04
494,383,0.04
494,438,0.04
495,315,0.04
496,22,0.04
496,289,0.04
496,319,0.04
496,350,0.04
497,145,0.04
497,212,0.04
497,296,0.04
497,338,0.04
497,428,0.04
498,2,0.04
498,4,0.04
498,33,0.04
498,43,0.04
498,89,0.04
498,158,0.04
498,169,0.04
498,171,0.04
498,186,0.08
498,188,0.04
498,192,0.04
498,241,0.04
498,260,0.04
498,289,0.04
498,290,0.04
498,303,0.04
498,308,0.04
498,330,0.04
498,402,0.04
498,488,0.04
499,64,0.04
499,144,0.04
499,192,0.04
499,343,0.06
499,432,0.04
499,461,0.04
500,3,0.04
500,63,0.04
500,70,0.04
500,74,0.04
500,76,0.04
500,79,0.04
500,102,0.04
500,180,0.04
500,223,0.04
500,246,0.04
500,277,0.04
500,281,0.04
500,295,0.06
500,303,0.04
500,319,0.04
500,324,0.04
500,422,0.04
500,432,0.04
462,2,0.6
189,2,0.6
454,6,0.6
399,6,0.6
47,6,0.6
46,6,0.6
184,7,0.6
437,9,0.6
395,9,0.6
290,9,0.6
173,9,0.6
137,9,0.6
131,9,0.6
95,9,0.6
483,11,0.6
431,11,0.6
364,11,0.6
190,11,0.6
44,15,0.6
390,16,0.6
334,16,0.6
304,16,0.6
252,16,0.6
26,16,0.6
472,21,0.6
130,21,0.6
33,21,0.6
496,22,0.6
457,22,0.6
427,22,0.6
352,22,0.6
490,24,0.6
482,24,0.6
459,24,0.6
452,24,0.6
416,24,0.6
199,24,0.6
128,24,0.6
73,24,0.6
390,26,0.6
334,26,0.6
304,26,0.6
252,26,0.6
16,26,0.6
335,27,0.6
247,27,0.6
163,27,0.6
72,27,0.6
78,28,0.6
71,28,0.6
442,30,0.6
149,30,0.6
426,31,0.6
423,31,0.6
287,31,0.6
153,31,0.6
139,31,0.6
41,31,0.6
472,33,0.6
130,33,0.6
21,33,0.6
448,34,0.6
369,34,0.6
357,34,0.6
129,34,0.6
48,34,0.6
406,35,0.6
280,35,0.6
276,35,0.6
178,35,0.6
143,35,0.6
426,41,0.6
423,41,0.6
287,41,0.6
153,41,0.6
139,41,0.6
31,41,0.6
478,42,0.6
456,42,0.6
258,42,0.6
209,42,0.6
69,42,0.6
441,43,0.6
330,43,0.6
108,43,0.6
15,44,0.6
471,45,0.6
319,45,0.6
211,45,0.6
185,45,0.6
454,46,0.6
399,46,0.6
47,46,0.6
6,46,0.6
454,47,0.6
399,47,0.6
46,47,0.6
6,47,0.6
448,48,0.6
369,48,0.6
357,48,0.6
129,48,0.6
34,48,0.6
59,49,0.6
377,51,0.6
325,51,0.6
298,51,0.6
433,55,0.6
430,55,0.6
425,55,0.6
383,55,0.6
379,55,0.6
289,55,0.6
234,55,0.6
339,58,0.6
338,58,0.6
318,58,0.6
235,58,0.6
136,58,0.6
49,59,0.6
491,60,0.6
470,60,0.6
354,60,0.6
341,60,0.6
420,62,0.6
402,62,0.6
349,62,0.6
336,62,0.6
460,63,0.6
447,63,0.6
255,63,0.6
157,63,0.6
126,63,0.6
327,64,0.6
222,64,0.6
220,64,0.6
435,65,0.6
224,65,0.6
94,65,0.6
478,69,0.6
456,69,0.6
258,69,0.6
209,69,0.6
42,69,0.6
78,71,0.6
28,71,0.6
335,72,0.6
247,72,0.6
163,72,0.6
27,72,0.6
490,73,0.6
482,73,0.6
459,73,0.6
452,73,0.6
416,73,0.6
199,73,0.6
128,73,0.6
24,73,0.6
71,78,0.6
28,78,0.6
495,80,0.6
391,80,0.6
261,80,0.6
158,80,0.6
461,83,0.6
397,83,0.6
373,83,0.6
264,83,0.6
475,84,0.6
360,87,0.6
291,87,0.6
435,94,0.6
224,94,0.6
65,94,0.6
437,95,0.6
395,95,0.6
290,95,0.6
173,95,0.6
137,95,0.6
131,95,0.6
9,95,0.6
463,96,0.6
404,96,0.6
313,96,0.6
286,96,0.6
175,96,0.6
107,100,0.6
106,100,0.6
105,100,0.6
104,100,0.6
103,100,0.6
102,100,0.6
101,100,0.6
107,101,0.6
106,101,0.6
105,101,0.6
104,101,0.6
103,101,0.6
102,101,0.6
100,101,0.6
107,102,0.6
106,102,0.6
105,102,0.6
104,102,0.6
103,102,0.6
101,102,0.6
100,102,0.6
107,103,0.6
106,103,0.6
105,103,0.6
104,103,0.6
102,103,0.6
101,103,0.6
100,103,0.6
107,104,0.6
106,104,0.6
105,104,0.6
103,104,0.6
102,104,0.6
101,104,0.6
100,104,0.6
107,105,0.6
106,105,0.6
104,105,0.6
103,105,0.6
102,105,0.6
101,105,0.6
100,105,0.6
107,106,0.6
105,106,0.6
104,106,0.6
103,106,0.6
102,106,0.6
101,106,0.6
100,106,0.6
106,107,0.6
105,107,0.6
104,107,0.6
103,107,0.6
102,107,0.6
101,107,0.6
100,107,0.6
441,108,0.6
330,108,0.6
43,108,0.6
473,119,0.6
176,119,0.6
488,125,0.6
476,125,0.6
307,125,0.6
226,125,0.6
460,126,0.6
447,126,0.6
255,126,0.6
157,126,0.6
63,126,0.6
490,128,0.6
482,128,0.6
459,128,0.6
452,128,0.6
416,128,0.6
199,128,0.6
73,128,0.6
24,128,0.6
448,129,0.6
369,129,0.6
357,129,0.6
48,129,0.6
34,129,0.6
472,130,0.6
33,130,0.6
21,130,0.6
437,131,0.6
395,131,0.6
290,131,0.6
173,131,0.6
137,131,0.6
95,131,0.6
9,131,0.6
484,133,0.6
371,133,0.6
368,133,0.6
282,133,0.6
242,133,0.6
339,136,0.6
338,136,0.6
318,136,0.6
235,136,0.6
58,136,0.6
437,137,0.6
395,137,0.6
290,137,0.6
173,137,0.6
131,137,0.6
95,137,0.6
9,137,0.6
426,139,0.6
423,139,0.6
287,139,0.6
153,139,0.6
41,139,0.6
31,139,0.6
406,143,0.6
280,143,0.6
276,143,0.6
178,143,0.6
35,143,0.6
500,144,0.6
388,144,0.6
148,144,0.6
500,148,0.6
388,148,0.6
144,148,0.6
442,149,0.6
30,149,0.6
426,153,0.6
423,153,0.6
287,153,0.6
139,153,0.6
41,153,0.6
31,153,0.6
460,157,0.6
447,157,0.6
255,157,0.6
126,157,0.6
63,157,0.6
495,158,0.6
391,158,0.6
261,158,0.6
80,158,0.6
486,160,0.6
439,160,0.6
294,160,0.6
196,160,0.6
335,163,0.6
247,163,0.6
72,163,0.6
27,163,0.6
437,173,0.6
395,173,0.6
290,173,0.6
137,173,0.6
131,173,0.6
95,173,0.6
9,173,0.6
463,175,0.6
404,175,0.6
313,175,0.6
286,175,0.6
96,175,0.6
473,176,0.6
119,176,0.6
406,178,0.6
280,178,0.6
276,178,0.6
143,178,0.6
35,178,0.6
7,184,0.6
471,185,0.6
319,185,0.6
211,185,0.6
45,185,0.6
462,189,0.6
2,189,0.6
483,190,0.6
431,190,0.6
364,190,0.6
11,190,0.6
412,192,0.6
351,192,0.6
311,192,0.6
239,192,0.6
486,196,0.6
439,196,0.6
294,196,0.6
160,196,0.6
490,199,0.6
482,199,0.6
459,199,0.6
452,199,0.6
416,199,0.6
128,199,0.6
73,199,0.6
24,199,0.6
417,206,0.6
309,206,0.6
478,209,0.6
456,209,0.6
258,209,0.6
69,209,0.6
42,209,0.6
471,211,0.6
319,211,0.6
185,211,0.6
45,211,0.6
327,220,0.6
222,220,0.6
64,220,0.6
327,222,0.6
220,222,0.6
64,222,0.6
435,224,0.6
94,224,0.6
65,224,0.6
488,226,0.6
476,226,0.6
307,226,0.6
125,226,0.6
433,234,0.6
430,234,0.6
425,234,0.6
383,234,0.6
379,234,0.6
289,234,0.6
55,234,0.6
339,235,0.6
338,235,0.6
318,235,0.6
136,235,0.6
58,235,0.6
412,239,0.6
351,239,0.6
311,239,0.6
192,239,0.6
465,241,0.6
429,241,0.6
278,241,0.6
484,242,0.6
371,242,0.6
368,242,0.6
282,242,0.6
133,242,0.6
394,246,0.6
335,247,0.6
163,247,0.6
72,247,0.6
27,247,0.6
390,252,0.6
334,252,0.6
304,252,0.6
26,252,0.6
16,252,0.6
460,255,0.6
447,255,0.6
157,255,0.6
126,255,0.6
63,255,0.6
478,258,0.6
456,258,0.6
209,258,0.6
69,258,0.6
42,258,0.6
495,261,0.6
391,261,0.6
158,261,0.6
80,261,0.6
461,264,0.6
397,264,0.6
373,264,0.6
83,264,0.6
497,269,0.6
410,269,0.6
366,269,0.6
406,276,0.6
280,276,0.6
178,276,0.6
143,276,0.6
35,276,0.6
465,278,0.6
429,278,0.6
241,278,0.6
406,280,0.6
276,280,0.6
178,280,0.6
143,280,0.6
35,280,0.6
484,282,0.6
371,282,0.6
368,282,0.6
242,282,0.6
133,282,0.6
463,286,0.6
404,286,0.6
313,286,0.6
175,286,0.6
96,286,0.6
426,287,0.6
423,287,0.6
153,287,0.6
139,287,0.6
41,287,0.6
31,287,0.6
433,289,0.6
430,289,0.6
425,289,0.6
383,289,0.6
379,289,0.6
234,289,0.6
55,289,0.6
437,290,0.6
395,290,0.6
173,290,0.6
137,290,0.6
131,290,0.6
95,290,0.6
9,290,0.6
360,291,0.6
87,291,0.6
486,294,0.6
439,294,0.6
196,294,0.6
160,294,0.6
377,298,0.6
325,298,0.6
51,298,0.6
390,304,0.6
334,304,0.6
252,304,0.6
26,304,0.6
16,304,0.6
488,307,0.6
476,307,0.6
226,307,0.6
125,307,0.6
417,309,0.6
206,309,0.6
412,311,0.6
351,311,0.6
239,311,0.6
192,311,0.6
463,313,0.6
404,313,0.6
286,313,0.6
175,313,0.6
96,313,0.6
339,318,0.6
338,318,0.6
235,318,0.6
136,318,0.6
58,318,0.6
471,319,0.6
211,319,0.6
185,319,0.6
45,319,0.6
392,321,0.6
376,321,0.6
377,325,0.6
298,325,0.6
51,325,0.6
222,327,0.6
220,327,0.6
64,327,0.6
441,330,0.6
108,330,0.6
43,330,0.6
390,334,0.6
304,334,0.6
252,334,0.6
26,334,0.6
16,334,0.6
247,335,0.6
163,335,0.6
72,335,0.6
27,335,0.6
420,336,0.6
402,336,0.6
349,336,0.6
62,336,0.6
339,338,0.6
318,338,0.6
235,338,0.6
136,338,0.6
58,338,0.6
338,339,0.6
318,339,0.6
235,339,0.6
136,339,0.6
58,339,0.6
491,341,0.6
470,341,0.6
354,341,0.6
60,341,0.6
420,349,0.6
402,349,0.6
336,349,0.6
62,349,0.6
412,351,0.6
311,351,0.6
239,351,0.6
192,351,0.6
496,352,0.6
457,352,0.6
427,352,0.6
22,352,0.6
491,354,0.6
470,354,0.6
341,354,0.6
60,354,0.6
448,357,0.6
369,357,0.6
129,357,0.6
48,357,0.6
34,357,0.6
291,360,0.6
87,360,0.6
483,364,0.6
431,364,0.6
190,364,0.6
11,364,0.6
497,366,0.6
410,366,0.6
269,366,0.6
484,368,0.6
371,368,0.6
282,368,0.6
242,368,0.6
133,368,0.6
448,369,0.6
357,369,0.6
129,369,0.6
48,369,0.6
34,369,0.6
484,371,0.6
368,371,0.6
282,371,0.6
242,371,0.6
133,371,0.6
461,373,0.6
397,373,0.6
264,373,0.6
83,373,0.6
392,376,0.6
321,376,0.6
325,377,0.6
298,377,0.6
51,377,0.6
433,379,0.6
430,379,0.6
425,379,0.6
383,379,0.6
289,379,0.6
234,379,0.6
55,379,0.6
433,383,0.6
430,383,0.6
425,383,0.6
379,383,0.6
289,383,0.6
234,383,0.6
55,383,0.6
500,388,0.6
148,388,0.6
144,388,0.6
334,390,0.6
304,390,0.6
252,390,0.6
26,390,0.6
16,390,0.6
495,391,0.6
261,391,0.6
158,391,0.6
80,391,0.6
376,392,0.6
321,392,0.6
246,394,0.6
437,395,0.6
290,395,0.6
173,395,0.6
137,395,0.6
131,395,0.6
95,395,0.6
9,395,0.6
461,397,0.6
373,397,0.6
264,397,0.6
83,397,0.6
454,399,0.6
47,399,0.6
46,399,0.6
6,399,0.6
420,402,0.6
349,402,0.6
336,402,0.6
62,402,0.6
463,404,0.6
313,404,0.6
286,404,0.6
175,404,0.6
96,404,0.6
280,406,0.6
276,406,0.6
178,406,0.6
143,406,0.6
35,406,0.6
497,410,0.6
366,410,0.6
269,410,0.6
351,412,0.6
311,412,0.6
239,412,0.6
192,412,0.6
490,416,0.6
482,416,0.6
459,416,0.6
452,416,0.6
199,416,0.6
128,416,0.6
73,416,0.6
24,416,0.6
309,417,0.6
206,417,0.6
402,420,0.6
349,420,0.6
336,420,0.6
62,420,0.6
426,423,0.6
287,423,0.6
153,423,0.6
139,423,0.6
41,423,0.6
31,423,0.6
433,425,0.6
430,425,0.6
383,425,0.6
379,425,0.6
289,425,0.6
234,425,0.6
55,425,0.6
423,426,0.6
287,426,0.6
153,426,0.6
139,426,0.6
41,426,0.6
31,426,0.6
496,427,0.6
457,427,0.6
352,427,0.6
22,427,0.6
465,429,0.6
278,429,0.6
241,429,0.6
433,430,0.6
425,430,0.6
383,430,0.6
379,430,0.6
289,430,0.6
234,430,0.6
55,430,0.6
483,431,0.6
364,431,0.6
190,431,0.6
11,431,0.6
430,433,0.6
425,433,0.6
383,433,0.6
379,433,0.6
289,433,0.6
234,433,0.6
55,433,0.6
224,435,0.6
94,435,0.6
65,435,0.6
453,436,0.6
395,437,0.6
290,437,0.6
173,437,0.6
137,437,0.6
131,437,0.6
95,437,0.6
9,437,0.6
486,439,0.6
294,439,0.6
196,439,0.6
160,439,0.6
330,441,0.6
108,441,0.6
43,441,0.6
149,442,0.6
30,442,0.6
460,447,0.6
255,447,0.6
157,447,0.6
126,447,0.6
63,447,0.6
369,448,0.6
357,448,0.6
129,448,0.6
48,448,0.6
34,448,0.6
490,452,0.6
482,452,0.6
459,452,0.6
416,452,0.6
199,452,0.6
128,452,0.6
73,452,0.6
24,452,0.6
436,453,0.6
399,454,0.6
47,454,0.6
46,454,0.6
6,454,0.6
478,456,0.6
258,456,0.6
209,456,0.6
69,456,0.6
42,456,0.6
496,457,0.6
427,457,0.6
352,457,0.6
22,457,0.6
490,459,0.6
482,459,0.6
452,459,0.6
416,459,0.6
199,459,0.6
128,459,0.6
73,459,0.6
24,459,0.6
447,460,0.6
255,460,0.6
157,460,0.6
126,460,0.6
63,460,0.6
397,461,0.6
373,461,0.6
264,461,0.6
83,461,0.6
189,462,0.6
2,462,0.6
404,463,0.6
313,463,0.6
286,463,0.6
175,463,0.6
96,463,0.6
429,465,0.6
278,465,0.6
241,465,0.6
491,470,0.6
354,470,0.6
341,470,0.6
60,470,0.6
319,471,0.6
211,471,0.6
185,471,0.6
45,471,0.6
130,472,0.6
33,472,0.6
21,472,0.6
176,473,0.6
119,473,0.6
84,475,0.6
488,476,0.6
307,476,0.6
226,476,0.6
125,476,0.6
456,478,0.6
258,478,0.6
209,478,0.6
69,478,0.6
42,478,0.6
490,482,0.6
459,482,0.6
452,482,0.6
416,482,0.6
199,482,0.6
128,482,0.6
73,482,0.6
24,482,0.6
431,483,0.6
